id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
420120157015,2015-7015,3/16/2015 4:18:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX 10TH ST,27082,Harewood,10,49.130855,-123.923303
420120156322,2015-6322,3/14/2015 9:27:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,16XX MALLARD DR,27085,Northfield,5,49.190916,-123.973893
4201201512046,2015-12046,5/7/2015 5:17:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,22XX BOWEN RD,27091,Northfield,5,49.194359,-123.993105
4201201512199,2015-12199,5/9/2015 12:27:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,8XX OAKLEY ST,27118,Townsite,17,49.183536,-123.95972
4201201511026,2015-11026,4/27/2015 12:48:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,BASTION ST / SKINNER ST,27121,Downtown,2,49.166261,-123.937835
4201201518107,2015-18107,6/28/2015 10:56:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,10XX BOWEN RD,27127,University District,19,49.176268,-123.966031
420120158640,2015-8640,4/3/2015 12:33:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,10XX BOWEN RD,27127,University District,19,49.176268,-123.966031
420120156242,2015-6242,3/8/2015 10:13:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX FRONT ST,27140,Downtown,2,49.164412,-123.93156
4201201514238,2015-14238,5/26/2015 11:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX NICOL ST,27142,South End,6,49.160501,-123.934241
420120158609,2015-8609,4/2/2015 5:21:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX ASTERIA PL,27182,Downtown,2,49.157961,-123.940827
420120158604,2015-8604,4/2/2015 4:11:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX ASTERIA PL,27182,Downtown,2,49.157961,-123.940827
420120158069,2015-8069,3/28/2015 12:57:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX ASTERIA PL,27182,Downtown,2,49.157961,-123.940827
420120155133,2015-5133,2/23/2015 7:00:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX FITZWILLIAM ST,27190,Downtown,2,49.164575,-123.94522
420120158864,2015-8864,4/5/2015 3:55:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX SELBY ST,27192,Downtown,2,49.160514,-123.935812
4201201514089,2015-14089,5/27/2015 6:56:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,MILTON ST / NICOL ST,27208,South End,6,49.157948,-123.934011
4201201513920,2015-13920,5/25/2015 11:16:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX CAVAN ST,27222,Downtown,2,49.16277,-123.935869
4201201518920,2015-18920,7/5/2015 8:06:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX CLIFF ST,27223,Downtown,2,49.169477,-123.939452
4201201513651,2015-13651,5/22/2015 6:18:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX MT BENSON ST,27226,Newcastle/brechin,16,49.175724,-123.94289
4201201511427,2015-11427,5/1/2015 2:51:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX FRY ST,27235,South End,6,49.158946,-123.929971
420120157135,2015-7135,3/18/2015 1:05:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,3XX TOWNSITE RD,27247,Newcastle/brechin,16,49.177215,-123.947359
4201201510355,2015-10355,4/20/2015 3:03:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX 2ND ST,27257,University District,19,49.16655,-123.954826
4201201512060,2015-12060,5/7/2015 7:20:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX HALIBURTON ST,27330,South End,6,49.158921,-123.932726
4201201511037,2015-11037,4/27/2015 2:21:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,23XX ARBOT RD,27331,Westwood,18,49.166707,-124.002481
4201201510728,2015-10728,4/24/2015 12:48:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,41XX DEPARTURE BAY RD,27337,Departure Bay,3,49.20741,-124.001065
4201201515743,2015-15743,6/9/2015 11:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX RAILWAY AVE,27343,Harewood,10,49.153267,-123.941449
420120157346,2015-7346,3/20/2015 10:14:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX COMMERCIAL ST,27359,Downtown,2,49.166692,-123.937104
420120156119,2015-6119,3/5/2015 11:22:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,68XX ISLAND HWY N,27373,Dover,11,49.239148,-124.050679
4201201515583,2015-15583,6/9/2015 1:32:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,19XX ESTEVAN RD,27391,Newcastle/brechin,16,49.188317,-123.959596
4201201513956,2015-13956,5/25/2015 4:43:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX WALL ST,27393,Townsite,17,49.173226,-123.950363
4201201512536,2015-12536,5/12/2015 9:47:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX WALL ST,27393,Townsite,17,49.173226,-123.950363
420120158732,2015-8732,4/3/2015 11:35:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,FITZWILLIAM ST / WALLACE ST,27428,Downtown,2,49.16587,-123.940017
4201201515734,2015-15734,6/9/2015 11:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,22XX BOWEN RD,27433,Northfield,5,49.192689,-123.992409
4201201510321,2015-10321,4/20/2015 10:16:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,22XX BOWEN RD,27433,Northfield,5,49.192689,-123.992409
420120157492,2015-7492,3/22/2015 12:15:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,23XX ARBOT RD,27434,Westwood,18,49.166792,-124.007893
4201201510552,2015-10552,4/22/2015 1:22:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,35XX PLANTA RD,27468,Hammond Bay,15,49.218452,-123.94748
420120156430,2015-6430,3/10/2015 4:27:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX NORTHUMBERLAND AVE,27478,Townsite,17,49.177795,-123.953313
420120154762,2015-4762,2/20/2015 12:33:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX VIEW ST,27492,South End,6,49.151784,-123.937888
4201201510501,2015-10501,4/21/2015 10:40:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,33XX SHEARWATER DR,27501,Hammond Bay,15,49.213905,-123.947134
420120157590,2015-7590,3/23/2015 7:04:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,43XX BOBAN DR,27506,Diver Lake,13,49.208628,-124.032847
